section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
about_me_press,TRUE ,[Time to act on malnutrition in all its forms in West Africa](https://westafrica.transformnutrition.org/news/time-to-act-on-malnutrition-in-all-its-forms-in-west-africa/),Transform Nutrition West Africa,N/A,NA,2020,"My qualitative evidence synthesis was one of four works highlighted on this Bill 
and Melinda Gates Foundation funded knowledge mobilization platform",I was asked to give direct comment on my  findings to guide research and policy action,NA
about_me_press,FALSE,[Swipe right for science: Papr app is ‘Tinder for preprints’](https://www.nature.com/news/swipe-right-for-science-papr-app-is-tinder-for-preprints-1.22163),Nature News,N/A,2017,2017,Second press article for app Papr.,NA,NA
about_me_press,FALSE,[The Deeper Story in the Data](https://www.uvm.edu/uvmnews/news/deeper-story-data),University of Vermont Quarterly,N/A,2016,2016,Story on my path post graduation and the power of narrative.,NA,NA
academic_articles,TRUE ,[Application of Mathematical Models to inform National Strategic Planning in Nigeria](https://www.youtube.com/watch?v=w0Mo4qE3Pfw),6th Future of Malaria Research Symposium,N/A,2020,2020,Presentation of project performed at the Gerardin Lab ,NA,NA
academic_articles,TRUE ,"[Urban-rural Determinants of Malaria Transmission Intensity, Insecticide
 Treated Net Access and Use in Nigeria](https://www.nico.northwestern.edu/news-events/wednesdays-at-nico/)",Lightning Talk at the Northwestern Institute of Complex Systems ,,2020,2020,"Presentation of ongoing project at the Gerardin Lab with mentee, Chilochibi Chiziba ",NA,
academic_articles,TRUE,"[Country-Level Analysis of the Association between Maternal Obesity with Neonatal Mortality in Sub-Saharan Africa: A Cross- Sectional Study of 
Demographic and Health Surveys from 34 Countries](https://annalsofglobalhealth.org/articles/10.5334/aogh.2510/)",Annals of Global Health,N/A,2019,2019,"Authored with Mamudu HM, Wang L, Wallace R, Quinn M, Liu Y, Doctor HV",NA,NA
academic_articles,TRUE,[Is the Positive Association of Middle Income and Rich Household Wealth on Adult Sub-Saharan African Womens Overweight Status Modified by the Level of Education Attainment? A Cross-sectional Study of 22 countries](https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-020-08956-3),BMC Public Health ,N/A,2020,2020,"Authored with Quinn M, Mercer LD, Omoike EO, Mamudu HM",NA,NA
academic_articles,TRUE,"[A Qualitative 
Evidence Synthesis of Contextual Factors Contributing to Female Overweight and Obesity over the Life Course in
Sub-Saharan Africa](https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224612)",PLoS One,N/A,2019,2019,"Authored with Littleton MA, Nwabueze C, Famojuro O, Quinn M, Wallace R, Mamudu HM",NA,NA
academic_articles,TRUE,"[The Influence of the Social and Cultural Environment on Maternal 
Mortality in Nigeria: Evidence from the 2013 Demographic and Health Survey](https://-
doi.org/10.1371/journal.pone.019)",PLoS One,N/A,2017,2017,"Authored with Ariyo O, Doctor HV",NA,NA
academic_articles,TRUE,"[An Association of Health Behaviors with Depression and Metabolic 
Risks: Data from 2007 to 2014 U.S. National Health and Nutrition Examination Survey](https://pubmed.ncbi.nlm.nih.gov/28412644/)",Journal of Affective Disorders ,N/A,2017,2017,"Authored with Liu Y, Yu Y, Hess R, Bie R",,
