section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
about_me_press,FALSE,[Researchers Dive Into Big Data to Predict NBA Winners](https://appliedmath.ucmerced.edu/news/2016/researchers-dive-big-data-predict-nba-winners),Department of Applied Mathematics,"University of California, Merced",27-Apr-16,27-Apr-16,NA,NA,NA
academic_press,TRUE,"[Using Play-by-Play Data to Model, Simulate, and Predict NBA Games](https://ww2.amstat.org/meetings/jsm/2016/onlineprogram/AbstractDetails.cfm?abstractid=321509)",JSM 2016,"University of California, Merced",2016,2016,"Presented orally and with poster at JSM 2016 on work conducted under Dr. Harish Bhat at the University of California, Merced.",NA,NA
academic_press,TRUE,"[Using Play-by-Play Data to Model, Simulate, and Predict NBA Games](http://mmds-data.org/programs/program2016.pdf)",MMDS 2016,"University of California, Merced",2016,2016,"Presented  a poster at MMDS 2016 on work conducted under Dr. Harish Bhat at the University of California, Merced.",NA,NA
academic_press,TRUE,Analyzing the Spatial Variability in Protective Efficacy of SMC in Burkina Faso under Programmatic Implementation,Global Health Day 2019,Northwestern University,2019,2019,Poster presentation of project conducted at the Gerardin malaria lab at Northwestern University under the supervision of my advisors Dr. Noelle Samia and Dr. Jaline Gerardin.,NA,NA
academic_press,TRUE,Quantifying the protective efficacy of seasonal malaria chemoprevention under programmatic implementation in Burkina Faso using routine case data,Global Health Day 2020,Northwestern University,2020,2020,Poster presentation of ongoing project conducted at the Gerardin malaria lab at Northwestern University under the supervision of my advisors Dr. Noelle Samia and Dr. Jaline Gerardin.,NA,NA
academic_press,TRUE,[Quantifying the protective efficacy of seasonal malaria chemoprevention under programmatic implementation in Burkina Faso using routine case data](https://www.astmh.org/annual-meeting/2020e-reg),ASTMH 2020,Northwestern University,2020,2020,Poster presentation of ongoing project conducted at the Gerardin malaria lab at Northwestern University under the supervision of my advisors Dr. Noelle Samia and Dr. Jaline Gerardin.,NA,NA
academic_articles,TRUE,[Learning Stochastic Models for Basketball Substitutions using Play-by-Play Data ](https://dtai.cs.kuleuven.be/events/MLSA15/papers/mlsa15_submission_12.pdf),ECML PKDD 2015 - European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,"University of California, Merced",2015,2015,"Work conducted as undergraduate research under Dr. Harish Bhat at the University of California, Merced.",Poster presented by Dr. Bhat.,Paper published into the conference precedings. 
academic_articles,TRUE,[Driving Markov Chains to Desired Equilibria via Linear Programming ](https://ieeexplore.ieee.org/document/9048874),"Asilomar Conference on Signals, Systems & Computers 2019","University of California, Merced",2019,2019,Authored with Harish Bhat and Li-Hsuan Huang.,Work presented by Dr. Bhat at Alismomar conference.,Paper published into the conference precedings. 
academic_articles,TRUE,[Citation Prediction Using Diverse Features](https://faculty.ucmerced.edu/hbhat/BHRDE2015.pdf),ICDM 2015 workshop,"University of California, Merced",2015,2015,"Work conducted as undergraduate research under Harish Bhat at the University of California, Merced.","Authored with Dr. Harish Bhat, Dr. Li-Hsuan Huang, Dr. Rick Dale, and Dr. Evan Heit.",Work presented by Dr. Heit at International Conference on Data Mining Workshop (ICDMW) 2015.
education,TRUE,"PhD, Statistics",Department of Statistics,Northwestern University ,2017,present,Dissertation: Spatio-temporal modeling to quantify the efficacy of malaria interventions in Burkina Faso,Recipient of the Northwestern University Minority Health and Health Disparities Research Training Program (NU-MHRT) training grant.,NA
education,TRUE,"Bachelors of Science, Computer Science & Engineering; Applied Mathematics (Computational Statistics emphasis)",School of Engineering; Department of Applied Mathematics,"University of California, Merced",2012,2017,"Resarch under Harish Bhat in the department of mathematics and Alberto Cerpa in the department of EECS at the University of California, Merced.",Recipient of the Outstanding Undergraduate Student Award in Natural Sciences (2017).,Undergraduate Representative of the UC Merced SIAM chapter
industry_positions,TRUE,Interning Software Developer,TecApro,"San Jose, Costa Rica",2013,2013,Created an Android application to keep tracks of changes to building blueprints.,Helped the company break into the mobile application industry by helping them prototype their first application.,"Worked independently on this project, receiving support from the team of software engineers at TecApro."
industry_positions,TRUE,Software Development Team Intern,Zeptoo,"San Jose, Costa Rica; Berkeley, CA",2014,2014,Worked with a team of software engineers to develop the Airbanq Android application for alpha testing.,"Conducted alpha tests in Fruitvale, Oakland, where we worked through a community cash checking store and borrowed their expertise and clientele to conduct our field tests.","Worked closely with the product owner, the investing partners, and the lead software architect to coordinate and plan the alpha tests, as well as to interpret and communicate the test findings to the development team."
industry_positions,TRUE,Sales Planning Analaysis Intern,PlayStation,"San Mateo, CA",2015,2015,Conducted analysis on in house products to ascertain possible retailer specific marketing strategies using Apache Hadoop and Hive to query and aggregate massive datasets.,Presented business insights on emergent products to company CEOs and VPs of sales and marketing.,Processed massive datasets to leverage business insights with Excel and a small amount of Tableau.
research_positions,TRUE,T37 Northwestern University Minority Health and Health Disparities Research Training Program (NU-MHRT) pre-doctoral fellow,Statistics Deparment; Malaria Modeling Research Group (Gerardin's Lab),Northwestern University,2020,present,Applied statistical modeling to health facility routine case data from Burkina Faso to quantify changing trends in malaria incidence in the presence of changing health care policies.,Collaborated with in country partners and partners at the WHO Global Malaria Programme to parse and manipulate this messy dataset to gain insights on the effectiveness of newly introduced preventative interventions.,Presented our work to researchers from diverse backgrounds in several global health and epidemological conferences and symposia including ASTMH in 2020 and are currently preparing 2 manuscripts.
